"game_date","headshot","name","total","roll"
2023-03-24,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",16,NA
2023-03-24,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",3,NA
2023-03-19,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",9,NA
2023-03-18,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",5,18
2023-03-18,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",7,39
2023-03-16,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",16,36
2023-03-16,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",10,24
2023-03-15,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",17,31
2023-03-12,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",13,42
2023-03-12,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",9,38
2023-03-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",13,31
2023-03-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",19,33
2023-03-10,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",5,37
2023-03-10,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",5,28
2023-03-10,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",5,35
2023-03-09,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",15,45
2023-03-05,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",25,56
2023-03-05,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",10,28
2023-03-04,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",11,33
2023-03-02,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",13,30
2023-03-02,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",16,66
2023-03-01,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",17,38
2023-02-26,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",25,59
2023-02-25,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",7,29
2023-02-25,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",10,35
2023-02-22,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",9,20
2023-02-22,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",8,30
2023-02-22,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",18,55
2023-02-19,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",4,27
2023-02-19,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",12,47
2023-02-18,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",12,27
2023-02-16,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",17,47
2023-02-16,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",14,24
2023-02-15,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",7,25
2023-02-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",18,58
2023-02-11,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",6,22
2023-02-08,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",9,29
2023-02-08,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",6,43
2023-02-08,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",23,62
2023-02-05,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",23,44
2023-02-04,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",14,29
2023-02-04,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",21,50
2023-02-02,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",15,63
