Season,Player,Team,SalaryCap,PerYearSalary,YOYInflation
1946,Joe Fulks,Philadelphia Warriors,,8000,18.1
1947,George Mikan,Minneapolis Lakers,,12500,8.8
1948,George Mikan,Minneapolis Lakers,,15000,3
1949,George Mikan,Minneapolis Lakers,,15000,-2.1
1950,George Mikan,Minneapolis Lakers,,15000,5.9
1950,Harry Boykoff,Tri-Cities Blackhawks,,15000,5.9
1951,George Mikan,Minneapolis Lakers,,15000,6
1952,George Mikan,Minneapolis Lakers,,20000,0.8
1953,George Mikan,Minneapolis Lakers,,20000,0.7
1955,Bob Cousy,Boston Celtics,,25000,-0.3
1956,Bob Cousy,Boston Celtics,,25000,3
1957,Bob Cousy,Boston Celtics,,25000,2.9
1958,Bob Cousy,Boston Celtics,,25000,1.8
1959,Wilt Chamberlain,Philadelphia 76ers,,30000,1.7
1960,Wilt Chamberlain,Philadelphia 76ers,,65000,1.4
1961,Wilt Chamberlain,Philadelphia 76ers,,65000,0.7
1962,Wilt Chamberlain,Philadelphia 76ers,,65000,1.3
1963,Wilt Chamberlain,Philadelphia 76ers,,65000,1.6
1964,Wilt Chamberlain,Philadelphia 76ers,,65000,1
1965,Bill Russell,Boston Celtics,,100001,1.9
1966,Bill Russell,Boston Celtics,,100001,3.5
1967,Bill Bradley,New York Knicks,,125000,3
1968,Wilt Chamberlain,Los Angeles Lakers,,250000,4.7
1969,Wilt Chamberlain,Los Angeles Lakers,,250000,6.2
1969,Kareem Abdul-Jabbar,Milwaukee Bucks,,250000,6.2
1970,Pete Maravich,Atlanta Hawks,,380000,5.6
1971,Pete Maravich,Atlanta Hawks,,380000,3.3
1972,Pete Maravich,Atlanta Hawks,,380000,3.4
1973,Ernie DiGregorio,Buffalo Braves,,500000,8.7
1974,Ernie DiGregorio,Buffalo Braves,,500000,12.3
1974,Kareem Abdul-Jabbar,Milwaukee Bucks,,500000,12.3
1975,Kareem Abdul-Jabbar,Los Angeles Lakers,,650000,6.9
1976,Kareem Abdul-Jabbar,Los Angeles Lakers,,650000,4.9
1977,Kareem Abdul-Jabbar,Los Angeles Lakers,,650000,6.7
1978,David Thompson,Denver Nuggets,,800000,9
1979,Moses Malone,Philadelphia 76ers,,1000000,13.3
1979,Bill Walton,San Diego Clippers,,1000000,13.3
1980,Julius Erving,Philadelphia 76ers,,1000000,12.5
1980,Moses Malone,Philadelphia 76ers,,1000000,12.5
1980,Bill Walton,San Diego Clippers,,1000000,12.5
1980,Kareem Abdul-Jabbar,Los Angeles Lakers,,1000000,12.5
1981,Otis Birdsong,New Jersey Nets,,1000000,8.9
1981,Julius Erving,Philadelphia 76ers,,1000000,8.9
