Abb,FullName,Rim,Midrange,Corner3,AboveBreak3
ATL,Atlanta Hawks,27.1,34.7,8.5,22
BOS,Boston Celtics,23.9,22.3,10,32.4
BKN,Brooklyn Nets,22.4,28.9,8.5,25.2
CHA,Charlotte Hornets,30.3,27.6,8.8,23.6
CHI,Chicago Bulls,27.2,30.8,7.9,20.9
CLE,Cleveland Cavaliers,27,26.6,8,23.4
DAL,Dallas Mavericks,22,21.3,11.5,29.1
DEN,Denver Nuggets,29,26.3,8.1,22.7
DET,Detroit Pistons,24.4,30.3,9,23.2
GSW,Golden State Warriors,21.3,25.7,9,33.9
HOU,Houston Rockets,30.1,26.8,5.7,26.1
IND,Indiana Pacers,29.1,23.5,8.9,27.9
LAC,LA Clippers,24,28.7,8.7,24.5
LAL,Los Angeles Lakers,29.7,28.1,7.9,23.1
MEM,Memphis Grizzlies,29.6,28.2,8.9,25.1
MIA,Miami Heat,21.2,29.3,9.6,25
MIL,Milwaukee Bucks,25.1,25,9.7,30.5
MIN,Minnesota Timberwolves,29.2,25,8.5,24.4
NOP,New Orleans Pelicans,28,29.6,7.3,22.6
NYK,New York Knicks,27.3,26.6,10.2,25.3
OKC,Oklahoma City Thunder,31,27.5,7.3,26.6
ORL,Orlando Magic,27,28.2,6.8,24.2
PHI,Philadelphia 76ers,25.5,25.7,9,23.4
PHX,Phoenix Suns,20.8,36.7,9.7,22.7
POR,Portland Trail Blazers,28.6,21.6,7.7,27.4
SAC,Sacramento Kings,26.6,24.3,8.9,28.3
SAS,San Antonio Spurs,29,31.4,7.2,24.7
TOR,Toronto Raptors,26.8,32.6,8.9,22.8
UTA,Utah Jazz,25,27.1,8.8,28.7
WAS,Washington Wizards,24,31.2,7.3,24.2
