"team_abbreviation","e_off_rating","e_def_rating","e_net_rating","x","y","center_x","center_y"
"GSW","113.5","111.4","2.1",0,84,10,94
"GSW","113.5","111.4","2.1",20,84,10,94
"GSW","113.5","111.4","2.1",20,104,10,94
"GSW","113.5","111.4","2.1",0,104,10,94
"SAS","107.2","117.7","-10.5",63,21,73,31
"SAS","107.2","117.7","-10.5",83,21,73,31
"SAS","107.2","117.7","-10.5",83,41,73,31
"SAS","107.2","117.7","-10.5",63,41,73,31
"IND","111","115.4","-4.4",84,63,94,73
"IND","111","115.4","-4.4",104,63,94,73
"IND","111","115.4","-4.4",104,83,94,73
"IND","111","115.4","-4.4",84,83,94,73
"MEM","112.3","108.3","4",84,42,94,52
"MEM","112.3","108.3","4",104,42,94,52
"MEM","112.3","108.3","4",104,62,94,52
"MEM","112.3","108.3","4",84,62,94,52
"OKC","112.3","111.4","0.8",63,84,73,94
"OKC","112.3","111.4","0.8",83,84,73,94
"OKC","112.3","111.4","0.8",83,104,73,94
"OKC","112.3","111.4","0.8",63,104,73,94
"LAL","111.8","111.5","0.3",21,63,31,73
"LAL","111.8","111.5","0.3",41,63,31,73
"LAL","111.8","111.5","0.3",41,83,31,73
"LAL","111.8","111.5","0.3",21,83,31,73
"MIN","111.3","111.1","0.2",63,105,73,115
"MIN","111.3","111.1","0.2",83,105,73,115
"MIN","111.3","111.1","0.2",83,125,73,115
"MIN","111.3","111.1","0.2",63,125,73,115
"CHA","106.7","112.6","-5.9",105,42,115,52
"CHA","106.7","112.6","-5.9",125,42,115,52
"CHA","106.7","112.6","-5.9",125,62,115,52
"CHA","106.7","112.6","-5.9",105,62,115,52
"ATL","113.9","113.6","0.3",126,42,136,52
"ATL","113.9","113.6","0.3",146,42,136,52
"ATL","113.9","113.6","0.3",146,62,136,52
"ATL","113.9","113.6","0.3",126,62,136,52
"UTA","112.7","113.8","-1.1",42,63,52,73
"UTA","112.7","113.8","-1.1",62,63,52,73
"UTA","112.7","113.8","-1.1",62,83,52,73
"UTA","112.7","113.8","-1.1",42,83,52,73
"MIL","112.8","109.4","3.3",84,105,94,115
"MIL","112.8","109.4","3.3",104,105,94,115
"MIL","112.8","109.4","3.3",104,125,94,115
"MIL","112.8","109.4","3.3",84,125,94,115
"SAC","117","114.1","2.9",21,84,31,94
"SAC","117","114.1","2.9",41,84,31,94
"SAC","117","114.1","2.9",41,104,31,94
"SAC","117","114.1","2.9",21,104,31,94
"HOU","107.7","116.9","-9.2",63,42,73,52
"HOU","107.7","116.9","-9.2",83,42,73,52
"HOU","107.7","116.9","-9.2",83,62,73,52
"HOU","107.7","116.9","-9.2",63,62,73,52
"ORL","109","111.5","-2.4",126,21,136,31
"ORL","109","111.5","-2.4",146,21,136,31
"ORL","109","111.5","-2.4",146,41,136,31
"ORL","109","111.5","-2.4",126,41,136,31
