"team","team_fta","team_ftp","opponent_fta","opponent_ftp"
"San Antonio Spurs",30,70,16,50
"Dallas Mavericks",16,50,30,70
"New Orleans Pelicans",29,86.2,31,71
"Minnesota Timberwolves",31,71,29,86.2
"Memphis Grizzlies",18,72.2,16,81.3
"Oklahoma City Thunder",16,81.3,18,72.2
"Sacramento Kings",15,66.7,25,72
"Denver Nuggets",25,72,15,66.7
"Utah Jazz",6,83.3,21,76.2
"Los Angeles Lakers",21,76.2,6,83.3
"LA Clippers",24,66.7,22,72.7
"Phoenix Suns",22,72.7,24,66.7
"Golden State Warriors",16,87.5,24,66.7
"Portland Trail Blazers",24,66.7,16,87.5
"Atlanta Hawks",19,78.9,14,78.6
"Boston Celtics",14,78.6,19,78.9
"Philadelphia 76ers",19,73.7,28,82.1
"Brooklyn Nets",28,82.1,19,73.7
"Charlotte Hornets",30,86.7,16,93.8
"Cleveland Cavaliers",16,93.8,30,86.7
"Orlando Magic",24,70.8,20,75
"Miami Heat",20,75,24,70.8
"Indiana Pacers",38,78.9,22,77.3
"New York Knicks",22,77.3,38,78.9
"Milwaukee Bucks",21,81,16,87.5
"Toronto Raptors",16,87.5,21,81
"Houston Rockets",28,71.4,21,61.9
"Washington Wizards",21,61.9,28,71.4
"Detroit Pistons",13,76.9,22,77.3
"Chicago Bulls",22,77.3,13,76.9
"Minnesota Timberwolves",21,71.4,24,75
"San Antonio Spurs",24,75,21,71.4
"Portland Trail Blazers",23,73.9,30,86.7
"LA Clippers",30,86.7,23,73.9
"Denver Nuggets",24,70.8,23,82.6
"Utah Jazz",23,82.6,24,70.8
"Phoenix Suns",14,85.7,17,76.5
"Los Angeles Lakers",17,76.5,14,85.7
"Golden State Warriors",24,87.5,18,55.6
"Sacramento Kings",18,55.6,24,87.5
"Chicago Bulls",18,66.7,13,76.9
"Dallas Mavericks",13,76.9,18,66.7
"Memphis Grizzlies",15,73.3,11,81.8
"Milwaukee Bucks",11,81.8,15,73.3
"New York Knicks",20,75,20,95
"New Orleans Pelicans",20,95,20,75
"Philadelphia 76ers",29,79.3,28,67.9
"Atlanta Hawks",28,67.9,29,79.3
"Toronto Raptors",17,76.5,21,76.2
"Boston Celtics",21,76.2,17,76.5
"Orlando Magic",17,88.2,25,88
"Brooklyn Nets",25,88,17,88.2
"Houston Rockets",28,75,27,74.1
"Charlotte Hornets",27,74.1,28,75
"Detroit Pistons",26,80.8,28,78.6
"Indiana Pacers",28,78.6,26,80.8
"Miami Heat",12,58.3,37,78.4
"Washington Wizards",37,78.4,12,58.3
"Denver Nuggets",23,82.6,25,80
"Phoenix Suns",25,80,23,82.6
"Oklahoma City Thunder",26,80.8,16,68.8
"Utah Jazz",16,68.8,26,80.8
"Portland Trail Blazers",18,83.3,28,89.3
"San Antonio Spurs",28,89.3,18,83.3
"Miami Heat",15,86.7,15,86.7
"Philadelphia 76ers",15,86.7,15,86.7
"Cleveland Cavaliers",9,88.9,19,78.9
"Orlando Magic",19,78.9,9,88.9
"Los Angeles Lakers",24,66.7,27,85.2
"LA Clippers",27,85.2,24,66.7
"Sacramento Kings",19,78.9,18,83.3
"Dallas Mavericks",18,83.3,19,78.9
"Memphis Grizzlies",25,76,39,74.4
"New Orleans Pelicans",39,74.4,25,76
"Washington Wizards",26,76.9,40,87.5
"Atlanta Hawks",40,87.5,26,76.9
"Toronto Raptors",17,76.5,18,55.6
"Boston Celtics",18,55.6,17,76.5
"Chicago Bulls",11,81.8,11,81.8
"Milwaukee Bucks",11,81.8,11,81.8
"Brooklyn Nets",23,69.6,14,92.9
"Detroit Pistons",14,92.9,23,69.6
"New York Knicks",25,64,30,80
"Indiana Pacers",30,80,25,64
"Oklahoma City Thunder",35,74.3,30,73.3
"Golden State Warriors",30,73.3,35,74.3
"San Antonio Spurs",14,78.6,26,73.1
"Phoenix Suns",26,73.1,14,78.6
"Los Angeles Lakers",35,77.1,31,77.4
"Utah Jazz",31,77.4,35,77.1
"Boston Celtics",16,62.5,16,87.5
"Philadelphia 76ers",16,87.5,16,62.5
"Atlanta Hawks",19,89.5,20,80
