"player1","player2","mins","poss","pm"
"Lauri Markkanen","Lauri Markkanen",733,1532,-1.3293742214031
"John Collins","Lauri Markkanen",411,846,-6.97399527186762
"Talen Horton-Tucker","Lauri Markkanen",314,653,3.82848392036755
"Walker Kessler","Lauri Markkanen",268,550,-3.84111384111384
"Jordan Clarkson","Lauri Markkanen",402,840,-0.988464598249791
"Kelly Olynyk","Lauri Markkanen",262,561,-2.2540394456903
"Collin Sexton","Lauri Markkanen",291,624,-2.44585511575802
"Kris Dunn","Lauri Markkanen",161,339,9.14454277286136
"Ochai Agbaji","Lauri Markkanen",297,613,0.282638986201178
"Keyonte George","Lauri Markkanen",295,609,-3.69136160211211
"Luka Samanic","Lauri Markkanen",0,0,NA
"Omer Yurtseven","Lauri Markkanen",13,29,19.893899204244
"Simone Fontecchio","Lauri Markkanen",189,402,-2.69746982969285
"Taylor Hendricks","Lauri Markkanen",30,62,7.77366472765733
"Brice Sensabaugh","Lauri Markkanen",0,0,NA
"Micah Potter","Lauri Markkanen",0,0,NA
"Johnny Juzang","Lauri Markkanen",0,0,NA
"Lauri Markkanen","John Collins",411,846,-6.97399527186762
"John Collins","John Collins",828,1712,-11.7538999983613
"Talen Horton-Tucker","John Collins",244,494,-9.93284880412338
"Walker Kessler","John Collins",220,441,-16.0927028569408
"Jordan Clarkson","John Collins",526,1096,-9.67413493241293
"Kelly Olynyk","John Collins",315,664,-11.4100122122378
"Collin Sexton","John Collins",271,559,-6.85260283042291
"Kris Dunn","John Collins",149,310,-4.97887251365556
"Ochai Agbaji","John Collins",335,691,-12.3556471221176
"Keyonte George","John Collins",447,925,-17.0729817765648
"Luka Samanic","John Collins",7,14,-20.4761904761905
"Omer Yurtseven","John Collins",101,209,-17.5983195238651
"Simone Fontecchio","John Collins",271,566,-19.7613891105285
"Taylor Hendricks","John Collins",16,33,12.987012987013
"Brice Sensabaugh","John Collins",0,0,NA
"Micah Potter","John Collins",0,0,NA
"Johnny Juzang","John Collins",0,0,NA
"Lauri Markkanen","Talen Horton-Tucker",314,653,3.82848392036755
"John Collins","Talen Horton-Tucker",244,494,-9.93284880412338
"Talen Horton-Tucker","Talen Horton-Tucker",647,1331,-0.763460115352231
"Walker Kessler","Talen Horton-Tucker",338,686,1.59215600608296
"Jordan Clarkson","Talen Horton-Tucker",209,422,-8.29383886255924
"Kelly Olynyk","Talen Horton-Tucker",312,649,2.34714384436376
"Collin Sexton","Talen Horton-Tucker",361,747,-1.47255689424364
"Kris Dunn","Talen Horton-Tucker",117,247,7.50433776749567
"Ochai Agbaji","Talen Horton-Tucker",208,425,7.01543596161869
"Keyonte George","Talen Horton-Tucker",71,140,-15.1490236382323
"Luka Samanic","Talen Horton-Tucker",38,78,-4.84330484330484
"Omer Yurtseven","Talen Horton-Tucker",69,140,-11.6135662898253
"Simone Fontecchio","Talen Horton-Tucker",213,446,-0.459641255605376
"Taylor Hendricks","Talen Horton-Tucker",94,197,-1.21978937798318
"Brice Sensabaugh","Talen Horton-Tucker",0,0,NA
"Micah Potter","Talen Horton-Tucker",0,0,NA
"Johnny Juzang","Talen Horton-Tucker",0,0,NA
"Lauri Markkanen","Walker Kessler",268,550,-3.84111384111384
"John Collins","Walker Kessler",220,441,-16.0927028569408
"Talen Horton-Tucker","Walker Kessler",338,686,1.59215600608296
"Walker Kessler","Walker Kessler",599,1223,-3.79503598638202
"Jordan Clarkson","Walker Kessler",221,448,-13.9995673379484
"Kelly Olynyk","Walker Kessler",153,312,1.92307692307692
"Collin Sexton","Walker Kessler",300,619,-3.89996392552975
"Kris Dunn","Walker Kessler",143,291,20.3774244277477
"Ochai Agbaji","Walker Kessler",234,481,4.44290444290445
"Keyonte George","Walker Kessler",191,389,-21.8143619589472
"Luka Samanic","Walker Kessler",35,70,9.88258317025439
"Omer Yurtseven","Walker Kessler",0,0,NA
"Simone Fontecchio","Walker Kessler",221,452,-4.92527040314651
"Taylor Hendricks","Walker Kessler",73,153,-2.40070387129211
"Brice Sensabaugh","Walker Kessler",0,0,NA
"Micah Potter","Walker Kessler",0,0,NA
"Johnny Juzang","Walker Kessler",0,0,NA
"Lauri Markkanen","Jordan Clarkson",402,840,-0.988464598249791
"John Collins","Jordan Clarkson",526,1096,-9.67413493241293
"Talen Horton-Tucker","Jordan Clarkson",209,422,-8.29383886255924
"Walker Kessler","Jordan Clarkson",221,448,-13.9995673379484
"Jordan Clarkson","Jordan Clarkson",667,1392,-8.1049802908344
"Kelly Olynyk","Jordan Clarkson",270,574,-10.3779519938057
"Collin Sexton","Jordan Clarkson",139,302,-3.48734191233473
"Kris Dunn","Jordan Clarkson",40,85,25.8823529411765
"Ochai Agbaji","Jordan Clarkson",251,523,-3.23782742430431
"Keyonte George","Jordan Clarkson",396,828,-13.7043665415073
"Luka Samanic","Jordan Clarkson",1,2,150
"Omer Yurtseven","Jordan Clarkson",40,84,-16.5343915343915
"Simone Fontecchio","Jordan Clarkson",170,360,-12.0793650793651
"Taylor Hendricks","Jordan Clarkson",2,4,-200
